id,electricity_unit,water_unit,otherfee,parking_unit,room_code,room_id,price,house_name,is_allow_electric_car,electricity_fee,water_fee,card_fee,washing_machine_fee,parking_fee,garbage_fee,card_unit,garbage_unit,has_wifi,address,amenities,last_update,created_at,updated_at,latitude,longitude
018401b2-6c26-465f-b29e-db6d5b75299c,/kWh,/m3,0,/xe,202,000885d2-c765-422a-8164-b12a9cf9ee52,4500000,68 ĐƯỜNG D6,false,3800,20000,0,0,0,200000,/ng,/ph,True,"68 đường D6, Phường Phước Long B, Thành phố Thủ Đức, Thành phố Hồ Chí Minh","""Thành phố Thủ Đức - PHÙ HỢP Sinh viên | \nVị trí: Đường D6 | Đỗ Xuân Hợp | Dương Đình Hội | Giáp Quận 2 (gen_random_uuid(), 5p) | Cách Khu CNC (gen_random_uuid(), 7p) | \nTiện ích: CĐ Nghề | Chợ Phước Long B | Công viên | \nThực tế: Yên tĩnh, thuận tiện""",,2026-05-20 09:31:02.172335+00,2026-05-20 09:31:02.172335+00,10.9779341,106.7448245
020eb079-1c03-4103-982a-702ffcae968d,/kWh,/m3,150000,/xe,A013,02c41284-9ad4-41bc-b14e-7b5b7d274236,4100000,32/40 VÕ VĂN HÁT,Chưa xác định,3800,22000,0,30000,100000,0,/ng,/ph,True,"32/40 Võ Văn Hát, Phường Long Trường, Thành phố Thủ Đức, Thành phố Hồ Chí Minh","""Thành phố Thủ Đức - PHÙ HỢP Sinh viên | \nVị trí: Võ Văn Hát | Lã Xuân Oai | Nguyễn Duy Trinh | Giáp Khu CNC (gen_random_uuid(), 7p) | Cách ĐH Tài chính - Marketing (gen_random_uuid(), 3p) | \nTiện ích: ĐH Tài chính - Marketing | Chợ Long Trường | Công viên Long Trường | \nThực tế: Thuận tiện đi học, làm việc""",,2026-05-20 09:31:02.172335+00,2026-05-20 09:31:02.172335+00,10.8160442,106.8091373
04be6ea4-5e32-4470-8057-e7de75927330,/kWh,/ng,0,/xe,P.602,054d5d43-9c78-4406-bdaf-0ddf1f137afa,3400000,PHÚC SANG,Chưa xác định,3800,200000,50000,0,100000,200000,/ng,/ph,True,"1017/58/3/7 Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Thành phố Hồ Chí Minh","""Nhà Bè - PHÙ HỢP GIA ĐÌNH\nVị trí: Lê Văn Lương | Phước Kiển | Giáp Q.7 (gen_random_uuid(), 5p) | Cách SC VivoCity (gen_random_uuid(), 10p) \nTiện ích: RMIT | Lotte Mart | BV FV \nThực tế: N gian thoáng mát, liền kề tiện ích Q7""",,2026-05-20 09:31:02.172335+00,2026-05-20 09:31:02.172335+00,10.6510014,106.7258641
06e6568e-1670-47ba-989a-67f391f1e187,/kWh,/m3,0,/xe,209,087b10ed-4f1d-4eb5-996d-ef23d5a33288,2300000,YUHOME 6,Chưa xác định,3800,28000,0,0,0,170000,/ng,/ph,True,"1806/105/58 Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Thành phố Hồ Chí Minh","""Nhà Bè - PHÙ HỢP KINH DOANH\nVị trí: Huỳnh Tấn Phát | Phú Xuân | Giáp Q.7 (gen_random_uuid(), 2p) | Cách Cầu Phú Mỹ (gen_random_uuid(), 10p) \nTiện ích: Co.op Mart | UBND Phú Xuân | Ngân hàng \nThực tế: Trục chính sầm uất, kết nối thẳng vào trung tâm""",,2026-05-20 09:31:02.172335+00,2026-05-20 09:31:02.172335+00,10.6510014,106.7258641
0720788a-34aa-4900-bfac-adbf6a94e868,/kWh,/ng,0,/xe,104,08e6e149-15b5-4c7e-b84e-e2dd24f1bbd2,5800000,355/7 LÊ VĂN LƯƠNG,false,4000,100000,0,0,100000,200000,/ng,/ph,False,"355/7 Lê Văn Lương, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh","""Quận 7 - PHÙ HỢP [SINH VIÊN & NGƯỜI ĐI LÀM Q4, Q1] | \nVị trí: Lê Văn Lương | Nguyễn Thị Thập | Trần Xuân Soạn | Giáp Quận 4 (gen_random_uuid(), 3p) | Cách Lotte Mart (gen_random_uuid(), 2p) | \nTiện ích: ĐH Tôn Đức Thắng - Rmit | Lotte Mart | BV FV | \nThực tế: Thiên đường ẩm thực sinh viên, đi Q4 rất gần.""",,2026-05-20 09:31:02.172335+00,2026-05-20 09:31:02.172335+00,10.7282649,106.7126125
07fde7cf-c890-45d6-9a06-787ba541ca6f,/kWh,/ng,0,/xe,P.081,0ba7b7d9-5a6a-4971-8b40-f497c414f909,3200000,220/18 ÂU CƠ,false,3500,100000,0,0,120000,0,/ng,/ph,True,"220/18 Âu Cơ, Phường 09, Quận Tân Bình, Thành phố Hồ Chí Minh","""Quận Tân Bình - PHÙ HỢP Dân văn phòng | \nVị trí: Âu Cơ | Lạc Long Quân | Lý Thường Kiệt | Giáp Quận 11 (gen_random_uuid(), 5p) | Cách Đầm Sen (gen_random_uuid(), 7p) | \nTiện ích: ĐH Bách Khoa | Chợ Tân Bình | Bệnh viện Tân Phú | \nThực tế: Thuận tiện đi lại và mua sắm""",,2026-05-20 09:31:02.172335+00,2026-05-20 09:31:02.172335+00,10.8060049,106.6638135
08b1730a-e10a-4b1d-bae0-ea3a57776ef1,/kWh,/ng,150000,/xe,105,0d295b66-51a2-4d03-82e1-92abe659c608,4500000,436 NGÔ GIA TỰ,Chưa xác định,4000,100000,0,0,150000,0,/ng,/ph,True,"436 Ngô Gia Tự, Phường 04, Quận 10, Thành phố Hồ Chí Minh","""\nVị trí: Mặt tiền phố nội thất | \nThực tế: Chuyên doanh đồ gỗ, vỉa hè rộng, giao thương mạnh | \nTiện ích: Chợ Nhật Tảo, BV Nhi Đồng 1, trường tiểu học Trương Định.""",,2026-05-20 09:31:02.172335+00,2026-05-20 09:31:02.172335+00,10.8305173,106.6157456
098f11b4-89c5-4e2c-a893-dc36123f1c63,/kWh,/ng,0,/xe,102,0e8d0515-5925-48c1-a81d-e83a36c386b2,4200000,2/8 THIÊN PHƯỚC,false,4000,150000,0,0,100000,200000,/ng,/ph,True,"2/8 Thiên Phước, Phường 09, Quận Tân Bình, Thành phố Hồ Chí Minh","""Quận Tân Bình - PHÙ HỢP Dân văn phòng | \nVị trí: Thiên Phước | Âu Cơ | Lý Thường Kiệt | Giáp Quận 11 (gen_random_uuid(), 5p) | Cách Sân bay Tân Sơn Nhất (gen_random_uuid(), 12p) | \nTiện ích: ĐH Bách Khoa | Chợ Tân Bình | Bệnh viện Tân Phú | \nThực tế: Thuận tiện đi lại và mua sắm""",,2026-05-20 09:31:02.172335+00,2026-05-20 09:31:02.172335+00,10.8060049,106.6638135
0cd7be20-306c-4c22-ae95-69a4a85b1046,/kWh,/m3,0,/xe,310,0f102183-95c1-4250-820b-64d7391fcb9f,3500000,42A MÃ LÒ,Chưa xác định,3900,29000,0,0,100000,150000,/ng,/ph,False,"42A MÃ LÒ, Phường Bình Trị Đông A, Quận Bình Tân, Thành phố Hồ Chí Minh","""Quận Bình Tân - PHÙ HỢP Người đi làm | \nVị trí: Mã Lò | Hương Lộ 2 | Tỉnh Lộ 10 | Giáp Quận 6 (gen_random_uuid(), 10p) | Cách AEON Mall (gen_random_uuid(), 5p) | \nTiện ích: Trường THCS Bình Trị Đông | Chợ Lê Đình Cẩn | Công viên | \nThực tế: Gần trung tâm thương mại""",,2026-05-20 09:31:02.172335+00,2026-05-20 09:31:02.172335+00,10.7703543,106.5995759
0de99ff1-0c35-492e-b265-711f09d24264,/kWh,/ng,200000,/xe,303,0fb244e6-4c3f-4d02-abb1-5fbca346d26d,4900000,36/4/3 HUỲNH VĂN NGHỆ,false,4000,100000,0,0,0,0,/ng,/ph,True,"36/4/3 HUỲNH VĂN NGHỆ, Phường 15, Quận Tân Bình, Thành phố Hồ Chí Minh","""Quận Tân Bình - PHÙ HỢP Người đi làm | \nVị trí: Huỳnh Văn Nghệ | Phạm Văn Bạch | Trường Chinh | Giáp Gò Vấp (gen_random_uuid(), 3p) | Cách Sân bay Tân Sơn Nhất (gen_random_uuid(), 10p) | \nTiện ích: ĐH Công nghiệp | Chợ Phạm Văn Bạch | Công viên Gia Định | \nThực tế: Thuận tiện di chuyển và mua sắm""",,2026-05-20 09:31:02.172335+00,2026-05-20 09:31:02.172335+00,10.7989297,106.7209052
