"id","kitchen","desk","bed","elevator","tivi","mattress","cooling_type","pet","parking_space","toilet","time","gatelock","room_area","bancony","fridge","washer","hotwater","air_conditioner","kitchent_sink","window","drying_yard","wardrobe","floor","skylight","attic","created_at","updated_at"
"000885d2-c765-422a-8164-b12a9cf9ee52",True,False,False,False,False,False,"Phòng thường",False,"Chung","Riêng","Tự do","Vân tay","18m2",False,False,False,False,True,True,True,"Riêng",False,"Lầu 1",False,True,"2026-05-20 09:38:28.98654+00","2026-05-20 09:38:28.98654+00"
"02c41284-9ad4-41bc-b14e-7b5b7d274236",True,False,False,True,False,True,"Phòng thường",True,"Chung","Riêng","Tự do","Khóa thường","20m2",False,True,NULL,True,True,True,True,"Chung",True,"Lầu 2",False,True,"2026-05-20 09:38:28.98654+00","2026-05-20 09:38:28.98654+00"
"054d5d43-9c78-4406-bdaf-0ddf1f137afa",True,False,False,True,False,True,"Phòng thường",True,"Chung","Riêng","Tự do","Khóa thường","20m2",False,True,NULL,True,True,True,True,"Chung",True,"Tầng lửng",False,True,"2026-05-20 09:38:28.98654+00","2026-05-20 09:38:28.98654+00"
"087b10ed-4f1d-4eb5-996d-ef23d5a33288",True,False,False,True,False,True,"Phòng thường",True,"Chung","Riêng","Tự do","Khóa thường","20m2",False,True,NULL,True,True,True,True,"Chung",True,"Lầu 1",False,True,"2026-05-20 09:38:28.98654+00","2026-05-20 09:38:28.98654+00"
"08e6e149-15b5-4c7e-b84e-e2dd24f1bbd2",True,False,False,False,False,False,"Phòng thường",NULL,"Chung","Riêng","Tự do","Khóa thường","20m2",False,True,False,False,True,True,True,"Chung",True,"Lầu 1",False,True,"2026-05-20 09:38:28.98654+00","2026-05-20 09:38:28.98654+00"
"0ba7b7d9-5a6a-4971-8b40-f497c414f909",True,False,True,False,False,True,"Phòng Studio",False,"Chung","Riêng","Tự do","Vân tay","16m2",True,True,NULL,False,True,True,True,"Chung",True,"Lầu 2",False,False,"2026-05-20 09:38:28.98654+00","2026-05-20 09:38:28.98654+00"
"0d295b66-51a2-4d03-82e1-92abe659c608",True,False,False,True,False,False,"Phòng thường",True,"Chung","Riêng","Tự do","Khóa thường","20m2",False,False,False,False,False,True,True,"Chung",True,"Lầu 3",False,True,"2026-05-20 09:38:28.98654+00","2026-05-20 09:38:28.98654+00"
"0e8d0515-5925-48c1-a81d-e83a36c386b2",True,False,False,True,False,False,"Phòng thường",False,"Chung","Riêng","Tự do","Khóa thường","20m2",False,False,NULL,False,True,True,True,"Chung",True,"Lầu 3",False,True,"2026-05-20 09:38:28.98654+00","2026-05-20 09:38:28.98654+00"
"0f102183-95c1-4250-820b-64d7391fcb9f",True,False,False,True,False,True,"Phòng thường",True,"Chung","Riêng","Tự do","Khóa thường","20m2",False,True,NULL,True,True,True,True,"Chung",True,"Lầu 1",False,True,"2026-05-20 09:38:28.98654+00","2026-05-20 09:38:28.98654+00"
"0fb244e6-4c3f-4d02-abb1-5fbca346d26d",True,False,False,True,False,False,"Phòng thường",False,"Chung","Riêng","Tự do","Khóa thường","20m2",False,False,NULL,False,True,True,True,"Chung",True,"Lầu 3",False,True,"2026-05-20 09:38:28.98654+00","2026-05-20 09:38:28.98654+00"
